Name,Star,Number,AREA,URL
FX Bar and Restaurant,4.2,155,"Airport, Dabolim",https://www.google.com/maps/search/FX+Bar+and+Restaurant+Airport%2C+Dabolim
Jeni's Cloud Kitchen,4.3,367,"Airport, Dabolim",https://www.google.com/maps/search/Jeni%27s+Cloud+Kitchen+Airport%2C+Dabolim
Dream of Goa Bar & Resturant,4.7,599,Arambol,https://www.google.com/maps/search/Dream+of+Goa+Bar+%26+Resturant+Arambol
"Bageecha- Goa , Arambol",4.8,205,Arambol,https://www.google.com/maps/search/Bageecha-+Goa+%2C+Arambol+Arambol
Soma Santripti Restaurant,4.9,453,Arambol,https://www.google.com/maps/search/Soma+Santripti+Restaurant+Arambol
Shimons Falafel,4.8,1100,Arambol,https://www.google.com/maps/search/Shimons+Falafel+Arambol
Kinara Restaurant,4.2,997,Arambol,https://www.google.com/maps/search/Kinara+Restaurant+Arambol
BOMBAY TO MOSCOW,4.9,330,Arambol,https://www.google.com/maps/search/BOMBAY+TO+MOSCOW+Arambol
Lamuella Boutique and Bistro,4.4,140,Arambol,https://www.google.com/maps/search/Lamuella+Boutique+and+Bistro+Arambol
Cheeky Monkey,4.5,441,Arambol,https://www.google.com/maps/search/Cheeky+Monkey+Arambol
FLORA & FAUNA Bar & Restaurant,4.7,179,Arambol,https://www.google.com/maps/search/FLORA+%26+FAUNA+Bar+%26+Restaurant+Arambol
Blue Sea view,4.0,2000,Arambol,https://www.google.com/maps/search/Blue+Sea+view+Arambol
OCEANO - A CULINARY BAR,4.8,86,Arambol,https://www.google.com/maps/search/OCEANO+-+A+CULINARY+BAR+Arambol
Chika Palace,4.7,90,Arambol,https://www.google.com/maps/search/Chika+Palace+Arambol
Yummy Capital,4.9,179,Arambol,https://www.google.com/maps/search/Yummy+Capital+Arambol
Honey Restaurant,4.6,46,Arambol,https://www.google.com/maps/search/Honey+Restaurant+Arambol
La Veda Resto&Bar,4.8,146,Arambol,https://www.google.com/maps/search/La+Veda+Resto%26Bar+Arambol
Welcome Arambol Beach Shack,4.1,52,Arambol,https://www.google.com/maps/search/Welcome+Arambol+Beach+Shack+Arambol
Red Monkeys Restaurant Bar and Hostel,4.5,336,Arambol,https://www.google.com/maps/search/Red+Monkeys+Restaurant+Bar+and+Hostel+Arambol
Cafe Maitree,4.3,400,Arambol,https://www.google.com/maps/search/Cafe+Maitree+Arambol
Bee's Knees Cafe,4.4,528,Arambol,https://www.google.com/maps/search/Bee%27s+Knees+Cafe+Arambol
Twice In Nature,4.5,546,Arambol,https://www.google.com/maps/search/Twice+In+Nature+Arambol
Lavish Bar & Restaurant,4.0,1600,Arambol,https://www.google.com/maps/search/Lavish+Bar+%26+Restaurant+Arambol
Krishna Bar & Restaurant,4.0,936,Arambol,https://www.google.com/maps/search/Krishna+Bar+%26+Restaurant+Arambol
A1 Food and Beverages,4.4,505,Arambol,https://www.google.com/maps/search/A1+Food+and+Beverages+Arambol
Gecko Steak House,4.2,174,Arambol,https://www.google.com/maps/search/Gecko+Steak+House+Arambol
Meridian bar and restaurant,4.9,54,Arambol,https://www.google.com/maps/search/Meridian+bar+and+restaurant+Arambol
Sabr Restaurant And Bar,4.7,71,Arambol,https://www.google.com/maps/search/Sabr+Restaurant+And+Bar+Arambol
Double Dutch,4.3,506,Arambol,https://www.google.com/maps/search/Double+Dutch+Arambol
Saz on the Beach,4.2,1000,Arambol,https://www.google.com/maps/search/Saz+on+the+Beach+Arambol
Magic Tree Bar & Restaurant,4.3,102,Arambol,https://www.google.com/maps/search/Magic+Tree+Bar+%26+Restaurant+Arambol
Vishwanath Restaurant,4.4,325,Arambol,https://www.google.com/maps/search/Vishwanath+Restaurant+Arambol
The Best Tibet Kitchen Restaurant,4.1,142,Arambol,https://www.google.com/maps/search/The+Best+Tibet+Kitchen+Restaurant+Arambol
Baabla - Kitchen Grill Bar,4.4,129,Arambol,https://www.google.com/maps/search/Baabla+-+Kitchen+Grill+Bar+Arambol
Garden of dreams,4.7,104,Arambol,https://www.google.com/maps/search/Garden+of+dreams+Arambol
Prana Mandrem,4.3,775,Arambol,https://www.google.com/maps/search/Prana+Mandrem+Arambol
i love india bar and restaurant,4.5,181,Arambol,https://www.google.com/maps/search/i+love+india+bar+and+restaurant+Arambol
Outback Restaurant,4.4,174,Arambol,https://www.google.com/maps/search/Outback+Restaurant+Arambol
My Shack bar and restaurant arambol,4.6,29,Arambol,https://www.google.com/maps/search/My+Shack+bar+and+restaurant+arambol+Arambol
Arambubble Bar & Restaurant,4.3,84,Arambol,https://www.google.com/maps/search/Arambubble+Bar+%26+Restaurant+Arambol
Cafe White Mushroom,4.7,35,Arambol,https://www.google.com/maps/search/Cafe+White+Mushroom+Arambol
Laughing Buddha,3.8,706,Arambol,https://www.google.com/maps/search/Laughing+Buddha+Arambol
Freedom Cafe,4.5,253,Arambol,https://www.google.com/maps/search/Freedom+Cafe+Arambol
Arcan Bar & Restaurant,4.3,267,Arambol,https://www.google.com/maps/search/Arcan+Bar+%26+Restaurant+Arambol
Captain fish the seafood Bistro,4.8,63,Arambol,https://www.google.com/maps/search/Captain+fish+the+seafood+Bistro+Arambol
"This is it Beachfront - Rooms, Cafe & Events",4.3,1200,Arambol,https://www.google.com/maps/search/This+is+it+Beachfront+-+Rooms%2C+Cafe+%26+Events+Arambol
Kanha pure veg restaurant (Arambol),5.0,12,Arambol,https://www.google.com/maps/search/Kanha+pure+veg+restaurant+%28Arambol%29+Arambol
Cafe Food Planet,4.3,1500,Arambol,https://www.google.com/maps/search/Cafe+Food+Planet+Arambol
Garden City Family Restaurant,3.8,439,Arambol,https://www.google.com/maps/search/Garden+City+Family+Restaurant+Arambol
Ivon's Restaurant,4.7,87,Arambol,https://www.google.com/maps/search/Ivon%27s+Restaurant+Arambol
Rock Lobster Lounge & Bar,4.2,205,Arambol,https://www.google.com/maps/search/Rock+Lobster+Lounge+%26+Bar+Arambol
Galaxy Restaurant,4.4,13,Arambol,https://www.google.com/maps/search/Galaxy+Restaurant+Arambol
Namaste Restaurant,4.6,95,Arambol,https://www.google.com/maps/search/Namaste+Restaurant+Arambol
Mango Tree Bar & Restaurant,4.3,93,Arambol,https://www.google.com/maps/search/Mango+Tree+Bar+%26+Restaurant+Arambol
Cafe De Arambol,4.8,211,Arambol,https://www.google.com/maps/search/Cafe+De+Arambol+Arambol
Jack's korner,4.3,150,Arambol,https://www.google.com/maps/search/Jack%27s+korner+Arambol
The Socialite,4.6,17,Arambol,https://www.google.com/maps/search/The+Socialite+Arambol
Deshu's Little Italy Cafe,4.2,157,Arambol,https://www.google.com/maps/search/Deshu%27s+Little+Italy+Cafe+Arambol
Nostalgia arambol,4.3,75,Arambol,https://www.google.com/maps/search/Nostalgia+arambol+Arambol
21coconut inn,4.3,469,Arambol,https://www.google.com/maps/search/21coconut+inn+Arambol
Spice Bar Cafe and Eatery,4.8,37,Arambol,https://www.google.com/maps/search/Spice+Bar+Cafe+and+Eatery+Arambol
Mandhi Mehal Restaurant,4.0,470,Arambol,https://www.google.com/maps/search/Mandhi+Mehal+Restaurant+Arambol
Pacha De Arambol,4.7,71,Arambol,https://www.google.com/maps/search/Pacha+De+Arambol+Arambol
Salt Water Terrace Restaurant & Guesthouse,4.3,127,Arambol,https://www.google.com/maps/search/Salt+Water+Terrace+Restaurant+%26+Guesthouse+Arambol
Gril it sandwich bar - Baruch's sandwich,4.9,93,Arambol,https://www.google.com/maps/search/Gril+it+sandwich+bar+-+Baruch%27s+sandwich+Arambol
China Garden Bar & Restaurant,4.1,251,Arambol,https://www.google.com/maps/search/China+Garden+Bar+%26+Restaurant+Arambol
Buddha Tasty Family Bar & Restaurant & Hotel Arambol,4.6,961,Arambol,https://www.google.com/maps/search/Buddha+Tasty+Family+Bar+%26+Restaurant+%26+Hotel+Arambol+Arambol
The Bodhi Tree Cafe and Bar,4.8,4600,Arambol,https://www.google.com/maps/search/The+Bodhi+Tree+Cafe+and+Bar+Arambol
URBAN TURBAN ARAMBOL,3.3,52,Arambol,https://www.google.com/maps/search/URBAN+TURBAN+ARAMBOL+Arambol
My Space Beach Bar and Restaurant,5.0,13,Arambol,https://www.google.com/maps/search/My+Space+Beach+Bar+and+Restaurant+Arambol
RELAX INN,4.5,126,Arambol,https://www.google.com/maps/search/RELAX+INN+Arambol
Azule Ocean Front,4.0,748,Arambol,https://www.google.com/maps/search/Azule+Ocean+Front+Arambol
Honey Beach Shack,4.2,28,Arambol,https://www.google.com/maps/search/Honey+Beach+Shack+Arambol
Silver Star Bar and Restaurant,4.1,343,Arambol,https://www.google.com/maps/search/Silver+Star+Bar+and+Restaurant+Arambol
Wave de Goa,4.4,31,Arambol,https://www.google.com/maps/search/Wave+de+Goa+Arambol
Chek Garden Family,5.0,18,Arambol,https://www.google.com/maps/search/Chek+Garden+Family+Arambol
Fellini Pizza's,4.3,237,Arambol,https://www.google.com/maps/search/Fellini+Pizza%27s+Arambol
"Casa Dwarki, Restaurant and Bar, Cafe05, Near MJ Fittness Gym, Pernem Road",4.5,71,Arambol,https://www.google.com/maps/search/Casa+Dwarki%2C+Restaurant+and+Bar%2C+Cafe05%2C+Near+MJ+Fittness+Gym%2C+Pernem+Road+Arambol
Morning Star Beer Bar & Restaurant,4.0,178,Arambol,https://www.google.com/maps/search/Morning+Star+Beer+Bar+%26+Restaurant+Arambol
Wa Blue Restaurant,4.2,139,Arambol,https://www.google.com/maps/search/Wa+Blue+Restaurant+Arambol
Shantaram Raw Vegan Cafe,4.7,159,Arambol,https://www.google.com/maps/search/Shantaram+Raw+Vegan+Cafe+Arambol
Sunrise Galaxy Arambol,4.9,8,Arambol,https://www.google.com/maps/search/Sunrise+Galaxy+Arambol+Arambol
Bella Ciao Arambol,4.1,14,Arambol,https://www.google.com/maps/search/Bella+Ciao+Arambol+Arambol
Pure Veg Cafe Morjimin Arambol,3.5,160,Arambol,https://www.google.com/maps/search/Pure+Veg+Cafe+Morjimin+Arambol+Arambol
Patrice Bar and Restaurant,5.0,47,Arambol,https://www.google.com/maps/search/Patrice+Bar+and+Restaurant+Arambol
Fullmoon Beer Bar & Restaurant,4.0,47,Arambol,https://www.google.com/maps/search/Fullmoon+Beer+Bar+%26+Restaurant+Arambol
Cafe Tathastu Goa,4.9,38,Arambol,https://www.google.com/maps/search/Cafe+Tathastu+Goa+Arambol
lava bar and restaurant,4.8,28,Arambol,https://www.google.com/maps/search/lava+bar+and+restaurant+Arambol
"Omkar Wellness Inn - 3 Star Resort in Arambol Beach, North Goa",4.6,574,Arambol,https://www.google.com/maps/search/Omkar+Wellness+Inn+-+3+Star+Resort+in+Arambol+Beach%2C+North+Goa+Arambol
People's Garden,4.5,17,Arambol,https://www.google.com/maps/search/People%27s+Garden+Arambol
Annapurna Restaurant/Best Restaurant in Arambol,4.6,11,Arambol,https://www.google.com/maps/search/Annapurna+Restaurant%2FBest+Restaurant+in+Arambol+Arambol
Arambol Mountain,4.6,1000,Arambol,https://www.google.com/maps/search/Arambol+Mountain+Arambol
Navratna Udupi Pure Veg,3.9,100,Arambol,https://www.google.com/maps/search/Navratna+Udupi+Pure+Veg+Arambol
