Name,Star,Number,AREA,URL
Vernekar Bar and Restaurant,3.7,246,Bambolim Complex,https://www.google.com/maps/search/Vernekar+Bar+and+Restaurant+Bambolim+Complex
The Verandah,4.5,57,Bambolim Complex,https://www.google.com/maps/search/The+Verandah+Bambolim+Complex
Gopal Bar & Restaurant,4.0,636,Bambolim Complex,https://www.google.com/maps/search/Gopal+Bar+%26+Restaurant+Bambolim+Complex
The Galley,4.0,79,Bambolim Complex,https://www.google.com/maps/search/The+Galley+Bambolim+Complex
Peep Kitchen,4.4,4700,Bambolim Complex,https://www.google.com/maps/search/Peep+Kitchen+Bambolim+Complex
"The Krunch Story ""Chapter 3 - Bistro""",4.8,418,Bambolim Complex,https://www.google.com/maps/search/The+Krunch+Story+%22Chapter+3+-+Bistro%22+Bambolim+Complex
Prime Bite,4.0,12,Bambolim Complex,https://www.google.com/maps/search/Prime+Bite+Bambolim+Complex
YOO by Sodexo Campus Cafe,2.3,24,Bambolim Complex,https://www.google.com/maps/search/YOO+by+Sodexo+Campus+Cafe+Bambolim+Complex
Kuttis Restaurant,4.4,20,Bambolim Complex,https://www.google.com/maps/search/Kuttis+Restaurant+Bambolim+Complex
Biryani Cottage,3.7,165,Bambolim Complex,https://www.google.com/maps/search/Biryani+Cottage+Bambolim+Complex
Capiz Bar,4.3,48,Bambolim Complex,https://www.google.com/maps/search/Capiz+Bar+Bambolim+Complex
Le Petit Chef - Goa,4.1,15,Bambolim Complex,https://www.google.com/maps/search/Le+Petit+Chef+-+Goa+Bambolim+Complex
Sea Shells by James,4.1,4700,Bambolim Complex,https://www.google.com/maps/search/Sea+Shells+by+James+Bambolim+Complex
Vijay Poojary Restaurant,3.5,8,Bambolim Complex,https://www.google.com/maps/search/Vijay+Poojary+Restaurant+Bambolim+Complex
Bambolim Beach Resort,4.0,3700,Bambolim Complex,https://www.google.com/maps/search/Bambolim+Beach+Resort+Bambolim+Complex
Caitans Shack,4.0,8,Bambolim Complex,https://www.google.com/maps/search/Caitans+Shack+Bambolim+Complex
Café Araujo,4.9,19,Bambolim Complex,https://www.google.com/maps/search/Caf%C3%A9+Araujo+Bambolim+Complex
Pool Bar and Grill,4.4,24,Bambolim Complex,https://www.google.com/maps/search/Pool+Bar+and+Grill+Bambolim+Complex
Bay View Lounge,4.4,5,Bambolim Complex,https://www.google.com/maps/search/Bay+View+Lounge+Bambolim+Complex
Sai Tiffin Services,4.7,3,Bambolim Complex,https://www.google.com/maps/search/Sai+Tiffin+Services+Bambolim+Complex
Adarsh Bar & Restaurant,3.8,806,Bicholim,https://www.google.com/maps/search/Adarsh+Bar+%26+Restaurant+Bicholim
Pari Classic,4.2,98,Bicholim,https://www.google.com/maps/search/Pari+Classic+Bicholim
The Banyan Cafe | Restaurant and Bar,3.8,195,Bicholim,https://www.google.com/maps/search/The+Banyan+Cafe+%7C+Restaurant+and+Bar+Bicholim
Food Factory Cafe Bicholim,4.8,74,Bicholim,https://www.google.com/maps/search/Food+Factory+Cafe+Bicholim+Bicholim
Spice House A/C Family Restaurant & Bar,3.4,44,Bicholim,https://www.google.com/maps/search/Spice+House+A%2FC+Family+Restaurant+%26+Bar+Bicholim
RPS Restaurant with Bar,4.5,80,Bicholim,https://www.google.com/maps/search/RPS+Restaurant+with+Bar+Bicholim
BRYAN RESTAURANT,4.2,55,Bicholim,https://www.google.com/maps/search/BRYAN+RESTAURANT+Bicholim
SUFIKHANA (Bicholim),4.0,265,Bicholim,https://www.google.com/maps/search/SUFIKHANA+%28Bicholim%29+Bicholim
The Drunken Fish Mayem,4.7,182,Bicholim,https://www.google.com/maps/search/The+Drunken+Fish+Mayem+Bicholim
Casa Bicholim Veg & Non-Veg Restaurant,4.3,162,Bicholim,https://www.google.com/maps/search/Casa+Bicholim+Veg+%26+Non-Veg+Restaurant+Bicholim
Om Sai Family Restaurant,4.5,62,Bicholim,https://www.google.com/maps/search/Om+Sai+Family+Restaurant+Bicholim
Sugras Bhojanalay,4.5,93,Bicholim,https://www.google.com/maps/search/Sugras+Bhojanalay+Bicholim
D LILA veg & nonveg restaurant,3.8,1500,Bicholim,https://www.google.com/maps/search/D+LILA+veg+%26+nonveg+restaurant+Bicholim
AnnaBrahma Restaurant,4.6,25,Bicholim,https://www.google.com/maps/search/AnnaBrahma+Restaurant+Bicholim
Annapurna Bhojnalaya,4.1,366,Bicholim,https://www.google.com/maps/search/Annapurna+Bhojnalaya+Bicholim
Gauthankar Uphar Graha,4.0,532,Bicholim,https://www.google.com/maps/search/Gauthankar+Uphar+Graha+Bicholim
Top Inn Town A/C Restaurant and Bar & Sports Bar,3.8,207,Bicholim,https://www.google.com/maps/search/Top+Inn+Town+A%2FC+Restaurant+and+Bar+%26+Sports+Bar+Bicholim
Pizza House Bicholim,4.5,35,Bicholim,https://www.google.com/maps/search/Pizza+House+Bicholim+Bicholim
SIMNAAN FOOD FUSION FAMILY RESTAURANT,4.1,47,Bicholim,https://www.google.com/maps/search/SIMNAAN+FOOD+FUSION+FAMILY+RESTAURANT+Bicholim
Gazali Family Restaurant And Bar,5.0,11,Bicholim,https://www.google.com/maps/search/Gazali+Family+Restaurant+And+Bar+Bicholim
CAFE SAACHI veg & non veg restaurant,4.0,146,Bicholim,https://www.google.com/maps/search/CAFE+SAACHI+veg+%26+non+veg+restaurant+Bicholim
PRATIK BAR AND RESTAURANT,4.5,22,Bicholim,https://www.google.com/maps/search/PRATIK+BAR+AND+RESTAURANT+Bicholim
Old Jackfruit tree family restaurant and bar,4.9,22,Bicholim,https://www.google.com/maps/search/Old+Jackfruit+tree+family+restaurant+and+bar+Bicholim
Red Chilly Restaurant,3.9,9,Bicholim,https://www.google.com/maps/search/Red+Chilly+Restaurant+Bicholim
SHUBHAARAMBH Cafe and Restaurant,4.8,30,Bicholim,https://www.google.com/maps/search/SHUBHAARAMBH+Cafe+and+Restaurant+Bicholim
Kamal Restaurant Goa,4.1,1400,Bicholim,https://www.google.com/maps/search/Kamal+Restaurant+Goa+Bicholim
FO'REST FAMILY RESTAURANT & BAR BICHOLIM,4.9,9,Bicholim,https://www.google.com/maps/search/FO%27REST+FAMILY+RESTAURANT+%26+BAR+BICHOLIM+Bicholim
Rasa Biryani,4.5,17,Bicholim,https://www.google.com/maps/search/Rasa+Biryani+Bicholim
Fish house bar and restaurant,4.3,7,Bicholim,https://www.google.com/maps/search/Fish+house+bar+and+restaurant+Bicholim
Sai Sagar Bar & Restaurant,3.8,36,Bicholim,https://www.google.com/maps/search/Sai+Sagar+Bar+%26+Restaurant+Bicholim
Laziz Pizza Bicholim,4.4,69,Bicholim,https://www.google.com/maps/search/Laziz+Pizza+Bicholim+Bicholim
Annapurna bar and restaurant,4.4,9,Bicholim,https://www.google.com/maps/search/Annapurna+bar+and+restaurant+Bicholim
Bhaiya's Cafe and Restaurant,3.8,16,Bicholim,https://www.google.com/maps/search/Bhaiya%27s+Cafe+and+Restaurant+Bicholim
Hotel Hirabai,3.7,15,Bicholim,https://www.google.com/maps/search/Hotel+Hirabai+Bicholim
Premchandra Restaurant,4.3,3,Bicholim,https://www.google.com/maps/search/Premchandra+Restaurant+Bicholim
Drunken's Resto Cafe,5.0,1,Bicholim,https://www.google.com/maps/search/Drunken%27s+Resto+Cafe+Bicholim
MEET N EAT,4.8,5,Bicholim,https://www.google.com/maps/search/MEET+N+EAT+Bicholim
Ratna Sagar Family Restaurant & Bar (Calangute),4.2,2000,Bicholim,https://www.google.com/maps/search/Ratna+Sagar+Family+Restaurant+%26+Bar+%28Calangute%29+Bicholim
Rajas Cold Drinks House,3.9,41,Bicholim,https://www.google.com/maps/search/Rajas+Cold+Drinks+House+Bicholim
Shantadurga Bhojanalay,4.8,6,Bicholim,https://www.google.com/maps/search/Shantadurga+Bhojanalay+Bicholim
Dav Food Coner,4.5,2,Bicholim,https://www.google.com/maps/search/Dav+Food+Coner+Bicholim
Adarsh Snacks,4.9,14,Bicholim,https://www.google.com/maps/search/Adarsh+Snacks+Bicholim
Yatish bar restaurant Gaonkar wada,4.8,4,Bicholim,https://www.google.com/maps/search/Yatish+bar+restaurant+Gaonkar+wada+Bicholim
Rajesh Bar & Restaurant,3.5,26,Bicholim,https://www.google.com/maps/search/Rajesh+Bar+%26+Restaurant+Bicholim
KOTESHWAR Pure Vegetarian Restaurant,3.7,7,Bicholim,https://www.google.com/maps/search/KOTESHWAR+Pure+Vegetarian+Restaurant+Bicholim
Ganga Bar And Restaurant,3.2,9,Bicholim,https://www.google.com/maps/search/Ganga+Bar+And+Restaurant+Bicholim
Amat tikhat,4.8,6,Bicholim,https://www.google.com/maps/search/Amat+tikhat+Bicholim
Sheetal Udupi Pure Veg Restaurant,4.0,1300,Bicholim,https://www.google.com/maps/search/Sheetal+Udupi+Pure+Veg+Restaurant+Bicholim
Royal Foods Bicholim,3.6,9,Bicholim,https://www.google.com/maps/search/Royal+Foods+Bicholim+Bicholim
Ashok Bar & Restaurant,4.5,8,Bicholim,https://www.google.com/maps/search/Ashok+Bar+%26+Restaurant+Bicholim
Indira Bar and Family Restaurant,5.0,7,Bicholim,https://www.google.com/maps/search/Indira+Bar+and+Family+Restaurant+Bicholim
Hotel Atithi and Pure Veg. Family Restaurant,4.4,51,Bicholim,https://www.google.com/maps/search/Hotel+Atithi+and+Pure+Veg.+Family+Restaurant+Bicholim
Sai Family Restaurant With Bar,4.4,437,Bicholim,https://www.google.com/maps/search/Sai+Family+Restaurant+With+Bar+Bicholim
A K Bar & Restaurant,3.7,42,Bicholim,https://www.google.com/maps/search/A+K+Bar+%26+Restaurant+Bicholim
GEETA CAFÉ AND FAST FOOD,5.0,35,Bicholim,https://www.google.com/maps/search/GEETA+CAF%C3%89+AND+FAST+FOOD+Bicholim
Amoncar's Koteshwar Takeaways,4.0,131,Bicholim,https://www.google.com/maps/search/Amoncar%27s+Koteshwar+Takeaways+Bicholim
Hotel Z Square Bicholim,4.3,53,Bicholim,https://www.google.com/maps/search/Hotel+Z+Square+Bicholim+Bicholim
Swena Fast Food,5.0,34,Bicholim,https://www.google.com/maps/search/Swena+Fast+Food+Bicholim
Fogueri Caterers,3.7,28,Bicholim,https://www.google.com/maps/search/Fogueri+Caterers+Bicholim
SANGAM HOTEL,3.9,61,Bicholim,https://www.google.com/maps/search/SANGAM+HOTEL+Bicholim
Pilgaonkar's D'Lila Hotel,4.0,2,Bicholim,https://www.google.com/maps/search/Pilgaonkar%27s+D%27Lila+Hotel+Bicholim
Ratnasagar Family Restaurant & Bar,4.0,2500,Bicholim,https://www.google.com/maps/search/Ratnasagar+Family+Restaurant+%26+Bar+Bicholim
Raghlo's food,4.6,20,Bicholim,https://www.google.com/maps/search/Raghlo%27s+food+Bicholim
Green Valley,3.8,503,Bicholim,https://www.google.com/maps/search/Green+Valley+Bicholim
Tople Caterers,4.0,25,Bicholim,https://www.google.com/maps/search/Tople+Caterers+Bicholim
Shawarma Fusion,4.1,10,Bicholim,https://www.google.com/maps/search/Shawarma+Fusion+Bicholim
Gazali adda,5.0,5,Bicholim,https://www.google.com/maps/search/Gazali+adda+Bicholim
Bicholim chicken centre,4.0,3,Bicholim,https://www.google.com/maps/search/Bicholim+chicken+centre+Bicholim
Bobby's Corner,4.8,5,Bicholim,https://www.google.com/maps/search/Bobby%27s+Corner+Bicholim
Tato bar and restaurant,4.3,12,Bicholim,https://www.google.com/maps/search/Tato+bar+and+restaurant+Bicholim
Pastry Palace,4.5,73,Bicholim,https://www.google.com/maps/search/Pastry+Palace+Bicholim
Asha restaurant,5.0,6,Bicholim,https://www.google.com/maps/search/Asha+restaurant+Bicholim
Amonkar Bar and restaurant,3.4,7,Bicholim,https://www.google.com/maps/search/Amonkar+Bar+and+restaurant+Bicholim
MOHNISH RESTAURANT & FAST FOOD with BAR,3.7,38,Bicholim,https://www.google.com/maps/search/MOHNISH+RESTAURANT+%26+FAST+FOOD+with+BAR+Bicholim
A1 BAR AND RESTAURANT,5.0,3,Bicholim,https://www.google.com/maps/search/A1+BAR+AND+RESTAURANT+Bicholim
Coconut Goan Fish Thali - A Goan Seafood Restaurant,4.2,425,Bicholim,https://www.google.com/maps/search/Coconut+Goan+Fish+Thali+-+A+Goan+Seafood+Restaurant+Bicholim
Hotel Shanti,3.2,5,Bicholim,https://www.google.com/maps/search/Hotel+Shanti+Bicholim
Deendayal supermarket,4.3,15,Bicholim,https://www.google.com/maps/search/Deendayal+supermarket+Bicholim
Kundan Purohit Sweets,4.3,79,Bicholim,https://www.google.com/maps/search/Kundan+Purohit+Sweets+Bicholim
Radha Krishna restaurant,2.0,1,Bicholim,https://www.google.com/maps/search/Radha+Krishna+restaurant+Bicholim
The Shawarma House,3.0,2,Bicholim,https://www.google.com/maps/search/The+Shawarma+House+Bicholim
Aakashdeep Caterers,4.1,7,Bicholim,https://www.google.com/maps/search/Aakashdeep+Caterers+Bicholim
UDUPI Pure Veg Restaurant,3.8,2600,Bicholim,https://www.google.com/maps/search/UDUPI+Pure+Veg+Restaurant+Bicholim
Seby's Place,4.0,294,Bicholim,https://www.google.com/maps/search/Seby%27s+Place+Bicholim
Pingu Pizza,5.0,3,Bicholim,https://www.google.com/maps/search/Pingu+Pizza+Bicholim
Fish And More,3.8,25,Bicholim,https://www.google.com/maps/search/Fish+And+More+Bicholim
Goa ka,3.0,1,Bicholim,https://www.google.com/maps/search/Goa+ka+Bicholim
Goa Corn Chat,5.0,1,Bicholim,https://www.google.com/maps/search/Goa+Corn+Chat+Bicholim
Mumbai Chinese fast food,5.0,1,Bicholim,https://www.google.com/maps/search/Mumbai+Chinese+fast+food+Bicholim
"Curries - Club Mahindra Restaurant, Assonora, Goa",4.1,10,Bicholim,https://www.google.com/maps/search/Curries+-+Club+Mahindra+Restaurant%2C+Assonora%2C+Goa+Bicholim
Eleven am pm,4.2,69,Bicholim,https://www.google.com/maps/search/Eleven+am+pm+Bicholim
Fast Food,3.5,11,Bicholim,https://www.google.com/maps/search/Fast+Food+Bicholim
Vedanta Pure Veg Family Restaurant,3.9,280,Bicholim,https://www.google.com/maps/search/Vedanta+Pure+Veg+Family+Restaurant+Bicholim
Martin's Place,4.5,723,Bicholim,https://www.google.com/maps/search/Martin%27s+Place+Bicholim
Shubham omlet center,5.0,6,Bicholim,https://www.google.com/maps/search/Shubham+omlet+center+Bicholim
Pednekar Chicken Centre,4.0,1,Bicholim,https://www.google.com/maps/search/Pednekar+Chicken+Centre+Bicholim
Hotel omkar,3.6,331,Bicholim,https://www.google.com/maps/search/Hotel+omkar+Bicholim
AKASHDEEP RESTAURANT - HOME MADE FOOD,4.5,12,Bicholim,https://www.google.com/maps/search/AKASHDEEP+RESTAURANT+-+HOME+MADE+FOOD+Bicholim
Annapoorna refreshment,4.1,11,Bicholim,https://www.google.com/maps/search/Annapoorna+refreshment+Bicholim
Green view restaurant,5.0,1,Bicholim,https://www.google.com/maps/search/Green+view+restaurant+Bicholim
Tasty bites (Shidori),4.2,9,Bicholim,https://www.google.com/maps/search/Tasty+bites+%28Shidori%29+Bicholim
Balaji Refreshments,5.0,1,Bicholim,https://www.google.com/maps/search/Balaji+Refreshments+Bicholim
Jaideep Hotel(snacks),5.0,1,Bicholim,https://www.google.com/maps/search/Jaideep+Hotel%28snacks%29+Bicholim
Goan Street Food,5.0,5,Bicholim,https://www.google.com/maps/search/Goan+Street+Food+Bicholim
PGC take away,4.5,10,Bicholim,https://www.google.com/maps/search/PGC+take+away+Bicholim
Omlette Pav Centre,4.5,2,Bicholim,https://www.google.com/maps/search/Omlette+Pav+Centre+Bicholim
New Ishna Restaurant,4.0,1,Bicholim,https://www.google.com/maps/search/New+Ishna+Restaurant+Bicholim
Premchandra Hotel,4.5,2,Bicholim,https://www.google.com/maps/search/Premchandra+Hotel+Bicholim
Schandis Restaurant,4.4,720,Caranzalem,https://www.google.com/maps/search/Schandis+Restaurant+Caranzalem
Café Ashwini Caranzalem,4.1,517,Caranzalem,https://www.google.com/maps/search/Caf%C3%A9+Ashwini+Caranzalem+Caranzalem
Raki Modern Mezze and More,4.6,511,Caranzalem,https://www.google.com/maps/search/Raki+Modern+Mezze+and+More+Caranzalem
"Miri | Global Fusion Dining | Miramar, Panjim",4.6,962,Caranzalem,https://www.google.com/maps/search/Miri+%7C+Global+Fusion+Dining+%7C+Miramar%2C+Panjim+Caranzalem
Cafe Basil,4.4,2800,Caranzalem,https://www.google.com/maps/search/Cafe+Basil+Caranzalem
Shree Satteri Kamakshi Restaurant,4.5,58,Caranzalem,https://www.google.com/maps/search/Shree+Satteri+Kamakshi+Restaurant+Caranzalem
"Ticana - Café, Bar & Bistro",4.1,126,Caranzalem,https://www.google.com/maps/search/Ticana+-+Caf%C3%A9%2C+Bar+%26+Bistro+Caranzalem
New Sheetal Pure Veg Restaurant,4.1,3100,Caranzalem,https://www.google.com/maps/search/New+Sheetal+Pure+Veg+Restaurant+Caranzalem
Sea View Restaurant & Bar,4.2,83,Caranzalem,https://www.google.com/maps/search/Sea+View+Restaurant+%26+Bar+Caranzalem
INARA Goa by Brewed Blak Hospitality,4.6,342,Caranzalem,https://www.google.com/maps/search/INARA+Goa+by+Brewed+Blak+Hospitality+Caranzalem
Open Kitchen Restaurant | Pizzeria & Burgers,4.6,53,Caranzalem,https://www.google.com/maps/search/Open+Kitchen+Restaurant+%7C+Pizzeria+%26+Burgers+Caranzalem
Segundo Bairro Goan Restaurant and Bar,4.7,535,Caranzalem,https://www.google.com/maps/search/Segundo+Bairro+Goan+Restaurant+and+Bar+Caranzalem
Rio DeGoa Restobar,4.3,133,Caranzalem,https://www.google.com/maps/search/Rio+DeGoa+Restobar+Caranzalem
Bakehub - Italian & Sourdough,4.8,96,Caranzalem,https://www.google.com/maps/search/Bakehub+-+Italian+%26+Sourdough+Caranzalem
Casa Bhonsle Restaurant and Bar,4.2,2100,Caranzalem,https://www.google.com/maps/search/Casa+Bhonsle+Restaurant+and+Bar+Caranzalem
Cafe Ashwini,4.3,1300,Caranzalem,https://www.google.com/maps/search/Cafe+Ashwini+Caranzalem
Sagar View Restaurant,3.8,1200,Caranzalem,https://www.google.com/maps/search/Sagar+View+Restaurant+Caranzalem
The Brasserie,4.3,851,Caranzalem,https://www.google.com/maps/search/The+Brasserie+Caranzalem
HAOCHI - Asian Bistro,4.8,144,Caranzalem,https://www.google.com/maps/search/HAOCHI+-+Asian+Bistro+Caranzalem
House of B,4.5,44,Caranzalem,https://www.google.com/maps/search/House+of+B+Caranzalem
Caravela Cafe And Bistro,4.4,2700,Caranzalem,https://www.google.com/maps/search/Caravela+Cafe+And+Bistro+Caranzalem
Camilo's Bar And Restaurant,4.0,99,Caranzalem,https://www.google.com/maps/search/Camilo%27s+Bar+And+Restaurant+Caranzalem
Waterfront Terrace & Bar,4.4,374,Caranzalem,https://www.google.com/maps/search/Waterfront+Terrace+%26+Bar+Caranzalem
Aangan Restaurant,4.6,1600,Caranzalem,https://www.google.com/maps/search/Aangan+Restaurant+Caranzalem
Cremeux - Miramar,4.3,852,Caranzalem,https://www.google.com/maps/search/Cremeux+-+Miramar+Caranzalem
Crazy Over Momos,4.9,89,Caranzalem,https://www.google.com/maps/search/Crazy+Over+Momos+Caranzalem
Charlie Chang’s Caranzalem,4.2,176,Caranzalem,https://www.google.com/maps/search/Charlie+Chang%E2%80%99s+Caranzalem+Caranzalem
Soul Chef Goa- Feasts From The North East,4.5,380,Caranzalem,https://www.google.com/maps/search/Soul+Chef+Goa-+Feasts+From+The+North+East+Caranzalem
Schezwan House,4.2,595,Caranzalem,https://www.google.com/maps/search/Schezwan+House+Caranzalem
Lounge Terminal,4.4,624,Caranzalem,https://www.google.com/maps/search/Lounge+Terminal+Caranzalem
Fiza Biryani House,4.4,269,Caranzalem,https://www.google.com/maps/search/Fiza+Biryani+House+Caranzalem
Barbeque Nation,4.3,4700,Caranzalem,https://www.google.com/maps/search/Barbeque+Nation+Caranzalem
Borkars Celebrations Restaurant & Bar,3.9,441,Caranzalem,https://www.google.com/maps/search/Borkars+Celebrations+Restaurant+%26+Bar+Caranzalem
Edward's Yard,4.3,4000,Caranzalem,https://www.google.com/maps/search/Edward%27s+Yard+Caranzalem
Vaz Delight Family Restaurant,4.3,33,Caranzalem,https://www.google.com/maps/search/Vaz+Delight+Family+Restaurant+Caranzalem
Temptations Bar and Restaurant,3.8,2600,Caranzalem,https://www.google.com/maps/search/Temptations+Bar+and+Restaurant+Caranzalem
Viva Panjim,4.3,4400,Caranzalem,https://www.google.com/maps/search/Viva+Panjim+Caranzalem
Peru Restaurant and Bar,4.0,18,Caranzalem,https://www.google.com/maps/search/Peru+Restaurant+and+Bar+Caranzalem
Workshop Restaurant,4.5,1900,Caranzalem,https://www.google.com/maps/search/Workshop+Restaurant+Caranzalem
Field View Kitchen,4.6,9,Caranzalem,https://www.google.com/maps/search/Field+View+Kitchen+Caranzalem
AMOR Goa,3.5,2,Caranzalem,https://www.google.com/maps/search/AMOR+Goa+Caranzalem
THE GOAN SHAWARMA,4.7,18,Caranzalem,https://www.google.com/maps/search/THE+GOAN+SHAWARMA+Caranzalem
Fish thali restaurant,3.8,10,Caranzalem,https://www.google.com/maps/search/Fish+thali+restaurant+Caranzalem
Smokin' Joe's,3.9,733,Caranzalem,https://www.google.com/maps/search/Smokin%27+Joe%27s+Caranzalem
JP'S RESTAURANT,5.0,18,Caranzalem,https://www.google.com/maps/search/JP%27S+RESTAURANT+Caranzalem
Masala Ghar,4.8,5,Caranzalem,https://www.google.com/maps/search/Masala+Ghar+Caranzalem
Simply Grills,4.0,86,Caranzalem,https://www.google.com/maps/search/Simply+Grills+Caranzalem
Ritz Classic-Patto,4.0,7600,Caranzalem,https://www.google.com/maps/search/Ritz+Classic-Patto+Caranzalem
O Cozinheiro restaurant,4.1,20,Caranzalem,https://www.google.com/maps/search/O+Cozinheiro+restaurant+Caranzalem
Hitide Restaurant,4.5,11,Caranzalem,https://www.google.com/maps/search/Hitide+Restaurant+Caranzalem
SANTA RITA Fast Foods & Cafe (Goan Portuguese Cuisine),4.4,127,Caranzalem,https://www.google.com/maps/search/SANTA+RITA+Fast+Foods+%26+Cafe+%28Goan+Portuguese+Cuisine%29+Caranzalem
the break point,3.8,52,Caranzalem,https://www.google.com/maps/search/the+break+point+Caranzalem
Pai Miguel's Lorna Bar & Restaurant,4.9,16,Caranzalem,https://www.google.com/maps/search/Pai+Miguel%27s+Lorna+Bar+%26+Restaurant+Caranzalem
Café Ave Maria- Taleigao,4.0,797,Caranzalem,https://www.google.com/maps/search/Caf%C3%A9+Ave+Maria-+Taleigao+Caranzalem
Coconut Coves,3.0,2,Caranzalem,https://www.google.com/maps/search/Coconut+Coves+Caranzalem
21st Jan Bar & Restaurant,4.3,40,Caranzalem,https://www.google.com/maps/search/21st+Jan+Bar+%26+Restaurant+Caranzalem
Carlito's By The Sea,4.5,312,Caranzalem,https://www.google.com/maps/search/Carlito%27s+By+The+Sea+Caranzalem
Just Weight,5.0,1,Caranzalem,https://www.google.com/maps/search/Just+Weight+Caranzalem
Martin's Beach Corner,3.7,46,Caranzalem,https://www.google.com/maps/search/Martin%27s+Beach+Corner+Caranzalem
Cafe A&C Pearl's,4.7,37,Caranzalem,https://www.google.com/maps/search/Cafe+A%26C+Pearl%27s+Caranzalem
JP Bar & Restaurant,4.8,10,Caranzalem,https://www.google.com/maps/search/JP+Bar+%26+Restaurant+Caranzalem
Yasmin's Home Kitchen,4.9,16,Caranzalem,https://www.google.com/maps/search/Yasmin%27s+Home+Kitchen+Caranzalem
The Banyan - Eat Bar,5.0,2,Caranzalem,https://www.google.com/maps/search/The+Banyan+-+Eat+Bar+Caranzalem
Sycamore Hospitality Pvt Ltd,4.5,2,Caranzalem,https://www.google.com/maps/search/Sycamore+Hospitality+Pvt+Ltd+Caranzalem
Qi Pan Asian,4.6,271,Caranzalem,https://www.google.com/maps/search/Qi+Pan+Asian+Caranzalem
Gravity Resto and Bar,3.8,31,Caranzalem,https://www.google.com/maps/search/Gravity+Resto+and+Bar+Caranzalem
Cream Choc Gelato,4.6,1500,Caranzalem,https://www.google.com/maps/search/Cream+Choc+Gelato+Caranzalem
Homemade kharvas (Poss),5.0,12,Caranzalem,https://www.google.com/maps/search/Homemade+kharvas+%28Poss%29+Caranzalem
Earth Salads,4.3,23,Caranzalem,https://www.google.com/maps/search/Earth+Salads+Caranzalem
Suma’s kitchen( on orders only ),4.5,2,Caranzalem,https://www.google.com/maps/search/Suma%E2%80%99s+kitchen%28+on+orders+only+%29+Caranzalem
ALPHA CHICKEN,4.8,24,Caranzalem,https://www.google.com/maps/search/ALPHA+CHICKEN+Caranzalem
Pandu's Vada Pao,4.7,17,Caranzalem,https://www.google.com/maps/search/Pandu%27s+Vada+Pao+Caranzalem
Adlem Goi,4.6,5900,Caranzalem,https://www.google.com/maps/search/Adlem+Goi+Caranzalem
O Punjabi,3.5,14,Caranzalem,https://www.google.com/maps/search/O+Punjabi+Caranzalem
Avinash Restaurant,3.4,47,Caranzalem,https://www.google.com/maps/search/Avinash+Restaurant+Caranzalem
The Verandah Restaurant,3.8,185,Caranzalem,https://www.google.com/maps/search/The+Verandah+Restaurant+Caranzalem
Mahesh Ross Omelette,4.3,77,Caranzalem,https://www.google.com/maps/search/Mahesh+Ross+Omelette+Caranzalem
Darya Deger Restaurant,4.0,3100,Caranzalem,https://www.google.com/maps/search/Darya+Deger+Restaurant+Caranzalem
Martins Courtyard,4.0,73,Caranzalem,https://www.google.com/maps/search/Martins+Courtyard+Caranzalem
Lorena Bar & Restaurant,4.3,19,Caranzalem,https://www.google.com/maps/search/Lorena+Bar+%26+Restaurant+Caranzalem
Tomato's Garden Kitchen And Bar,4.1,4100,Caranzalem,https://www.google.com/maps/search/Tomato%27s+Garden+Kitchen+And+Bar+Caranzalem
Noorani biryani,4.5,4,Caranzalem,https://www.google.com/maps/search/Noorani+biryani+Caranzalem
Savera Restaurant,4.1,93,Caranzalem,https://www.google.com/maps/search/Savera+Restaurant+Caranzalem
Bombay Bites,4.5,2,Caranzalem,https://www.google.com/maps/search/Bombay+Bites+Caranzalem
Greenyard Restaurant & Bar,4.0,796,Caranzalem,https://www.google.com/maps/search/Greenyard+Restaurant+%26+Bar+Caranzalem
Vaddo 15,4.4,1900,Caranzalem,https://www.google.com/maps/search/Vaddo+15+Caranzalem
Kk Lovely Frankie,4.5,30,Caranzalem,https://www.google.com/maps/search/Kk+Lovely+Frankie+Caranzalem
PUNJABI Dhaba Fast food Restaurant,3.6,50,Caranzalem,https://www.google.com/maps/search/PUNJABI+Dhaba+Fast+food+Restaurant+Caranzalem
Sand Castles,4.0,81,Caranzalem,https://www.google.com/maps/search/Sand+Castles+Caranzalem
Chandan Family Restaurant,4.0,1,Caranzalem,https://www.google.com/maps/search/Chandan+Family+Restaurant+Caranzalem
Manestina Corner,4.4,65,Caranzalem,https://www.google.com/maps/search/Manestina+Corner+Caranzalem
Rlven Surya Bar And Restaurent,3.7,70,Caranzalem,https://www.google.com/maps/search/Rlven+Surya+Bar+And+Restaurent+Caranzalem
Cafe Mangalore,3.9,16,Caranzalem,https://www.google.com/maps/search/Cafe+Mangalore+Caranzalem
Sakshi Restaurant,4.2,19,Caranzalem,https://www.google.com/maps/search/Sakshi+Restaurant+Caranzalem
The Shawarma Club,4.0,13,Caranzalem,https://www.google.com/maps/search/The+Shawarma+Club+Caranzalem
RODRIGUES SNACKS FAST FOOD AND SNACKS CORNER,4.6,12,Caranzalem,https://www.google.com/maps/search/RODRIGUES+SNACKS+FAST+FOOD+AND+SNACKS+CORNER+Caranzalem
Sidhilinayak Veg-nonveg Restaurant,4.0,1,Caranzalem,https://www.google.com/maps/search/Sidhilinayak+Veg-nonveg+Restaurant+Caranzalem
