URL,Name,Star,Number,AREA
https://www.google.com/maps/place/Queen%27s+Kitchen/data=!4m7!3m6!1s0x3bbfeb06943e3e95:0xea0d9e3bed939e!8m2!3d15.520325!4d73.8301207!16s%2Fg%2F11j2ls7mp_!19sChIJlT4-lAbrvzsRnpPtO54N6gA?authuser=0&hl=en&rclk=1,Queen's Kitchen,5.0,61,
https://www.google.com/maps/place/Angels+Restaurant/data=!4m7!3m6!1s0x3bbfc1a1e35f1359:0xb6a24c1e7e18c4a0!8m2!3d15.5358448!4d73.8205341!16s%2Fg%2F11n09xs8hf!19sChIJWRNf46HBvzsRoMQYfh5MorY?authuser=0&hl=en&rclk=1,Angels Restaurant,4.1,108,
https://www.google.com/maps/place/NUSTEBAR+Seafood+Restaurant/data=!4m7!3m6!1s0x3bbfc1ffe1a4763d:0xdf9349704808121b!8m2!3d15.5188255!4d73.8320759!16s%2Fg%2F11h001jsf6!19sChIJPXak4f_BvzsRGxIISHBJk98?authuser=0&hl=en&rclk=1,NUSTEBAR Seafood Restaurant,4.5,291,
https://www.google.com/maps/place/Matsya+Sagar+Family+Restaurant+and+bar/data=!4m7!3m6!1s0x3bbfc0165797eb41:0xde91c843aa3e9637!8m2!3d15.5349082!4d73.8211815!16s%2Fg%2F11b8_wb7vm!19sChIJQeuXVxbAvzsRN5Y-qkPIkd4?authuser=0&hl=en&rclk=1,Matsya Sagar Family Restaurant and bar,4.0,948,
https://www.google.com/maps/place/Royal+Taste+-+Multicuisine+Restaurant+%26+Bar/data=!4m7!3m6!1s0x3bbfc103b7d0c66f:0x2c8cad64ec1692da!8m2!3d15.5342835!4d73.821569!16s%2Fg%2F11vf75z925!19sChIJb8bQtwPBvzsR2pIW7GStjCw?authuser=0&hl=en&rclk=1,Royal Taste - Multicuisine Restaurant & Bar,4.7,234,
https://www.google.com/maps/place/MAJESTIC+BHOJAN/data=!4m7!3m6!1s0x3bbfc0169151c507:0x410a813bf36dfe5!8m2!3d15.5337185!4d73.8224441!16s%2Fg%2F1tfr_j1s!19sChIJB8VRkRbAvzsR5d82vxOoEAQ?authuser=0&hl=en&rclk=1,MAJESTIC BHOJAN,4.2,3524,
https://www.google.com/maps/place/GRILLIN%27+IT/data=!4m7!3m6!1s0x3bbfc1dc4fee1e17:0xb08ee46e166203bd!8m2!3d15.5209418!4d73.8287147!16s%2Fg%2F11rnnjkg0r!19sChIJFx7uT9zBvzsRvQNiFm7kjrA?authuser=0&hl=en&rclk=1,GRILLIN' IT,4.5,41,
https://www.google.com/maps/place/King+Chilli+Goa/data=!4m7!3m6!1s0x3bbfc1e14143ede1:0x53d25d14f2762f03!8m2!3d15.5204177!4d73.8299794!16s%2Fg%2F11vjpfryzn!19sChIJ4e1DQeHBvzsRAy928hRd0lM?authuser=0&hl=en&rclk=1,King Chilli Goa,4.6,59,
https://www.google.com/maps/place/Spice+House/data=!4m7!3m6!1s0x3bbfc07effffffff:0xcd268212860d1241!8m2!3d15.529892!4d73.825106!16s%2Fg%2F11rv1k2gzh!19sChIJ_____37AvzsRQRINhhKCJs0?authuser=0&hl=en&rclk=1,Spice House,3.8,941,
https://www.google.com/maps/place/New+Leaf+Restaurant/data=!4m7!3m6!1s0x3bbfc1f004c3d0d5:0xd2b9293103b72f26!8m2!3d15.5287279!4d73.8259864!16s%2Fg%2F11j3vj76wp!19sChIJ1dDDBPDBvzsRJi-3AzEpudI?authuser=0&hl=en&rclk=1,New Leaf Restaurant,3.9,309,
https://www.google.com/maps/place/Annachi+Restaurant/data=!4m7!3m6!1s0x3bbfc07d8b8ffe7f:0x51b3adec836e751c!8m2!3d15.5055754!4d73.8343716!16s%2Fg%2F11f01mld7q!19sChIJf_6Pi33AvzsRHHVug-yts1E?authuser=0&hl=en&rclk=1,Annachi Restaurant,4.1,62,
https://www.google.com/maps/place/Navtara+Veg+Restaurant/data=!4m7!3m6!1s0x3bbfc0164d60e993:0x38631ccf6ba9465b!8m2!3d15.5354334!4d73.8204936!16s%2Fg%2F124t31698!19sChIJk-lgTRbAvzsRW0apa88cYzg?authuser=0&hl=en&rclk=1,Navtara Veg Restaurant,4.1,9580,
https://www.google.com/maps/place/Food+Point/data=!4m7!3m6!1s0x3bbfc0128ffa6881:0x8e21251e017466ac!8m2!3d15.5299478!4d73.8292373!16s%2Fg%2F11bzywntrx!19sChIJgWj6jxLAvzsRrGZ0AR4lIY4?authuser=0&hl=en&rclk=1,Food Point,4.0,345,
https://www.google.com/maps/place/THE+BASIL+LEAF/data=!4m7!3m6!1s0x3bbfc1a06f995a95:0xdf07cc3787b6b6fb!8m2!3d15.5201029!4d73.8280886!16s%2Fg%2F11h107lx66!19sChIJlVqZb6DBvzsR-7a2hzfMB98?authuser=0&hl=en&rclk=1,THE BASIL LEAF,4.3,265,
https://www.google.com/maps/place/Frankies+Restaurant/data=!4m7!3m6!1s0x3bbfc07d85ced5b9:0x59b8e8c292b520ca!8m2!3d15.5058244!4d73.8330485!16s%2Fg%2F11fy1lp13s!19sChIJudXOhX3AvzsRyiC1ksLouFk?authuser=0&hl=en&rclk=1,Frankies Restaurant,3.8,67,
https://www.google.com/maps/place/Asro+Cafe+%26+Silent+Book+Club+Goa/data=!4m7!3m6!1s0x3bbfc100674e65c1:0x71196ec1e80dab6e!8m2!3d15.5121835!4d73.8360123!16s%2Fg%2F11y2m_dm7q!19sChIJwWVOZwDBvzsRbqsN6MFuGXE?authuser=0&hl=en&rclk=1,Asro Cafe & Silent Book Club Goa,4.8,130,
https://www.google.com/maps/place/Spice+Restaurant/data=!4m7!3m6!1s0x3bbfeca8e2f967d3:0xa7948db2afcf4fa8!8m2!3d15.5164755!4d73.8332413!16s%2Fg%2F11byxf8n9t!19sChIJ02f54qjsvzsRqE_Pr7KNlKc?authuser=0&hl=en&rclk=1,Spice Restaurant,4.0,189,
https://www.google.com/maps/place/ALZ+The+Home+Cafe/data=!4m7!3m6!1s0x3bbfc1a894f76621:0xd3ba8cbdf02b967!8m2!3d15.5136441!4d73.83755!16s%2Fg%2F11gnpjprwx!19sChIJIWb3lKjBvzsRZ7kC38uoOw0?authuser=0&hl=en&rclk=1,ALZ The Home Cafe,4.7,49,
https://www.google.com/maps/place/SunSu+Bar+%26+Restaurant/data=!4m7!3m6!1s0x3bbfc00c9943923b:0x432e3f0e742d4e6a!8m2!3d15.5298876!4d73.835742!16s%2Fg%2F11bw61dts6!19sChIJO5JDmQzAvzsRak4tdA4_LkM?authuser=0&hl=en&rclk=1,SunSu Bar & Restaurant,4.3,142,
https://www.google.com/maps/place/Ghoomar+Traditional+Thali+Restaurants+-+Goa/data=!4m7!3m6!1s0x3bbfc172d904827d:0x6463c266274cd9a2!8m2!3d15.5405855!4d73.8164669!16s%2Fg%2F11tgbwrxp3!19sChIJfYIE2XLBvzsRotlMJ2bCY2Q?authuser=0&hl=en&rclk=1,Ghoomar Traditional Thali Restaurants - Goa,4.7,4038,
https://www.google.com/maps/place/Fatwich/data=!4m7!3m6!1s0x3bbfc0165a16756d:0x21219b72f6ce35a5!8m2!3d15.5343881!4d73.8208158!16s%2Fg%2F11g9myvglt!19sChIJbXUWWhbAvzsRpTXO9nKbISE?authuser=0&hl=en&rclk=1,Fatwich,4.8,203,
https://www.google.com/maps/place/Hot+Pot+Bar+%26+Family+Restaurant/data=!4m7!3m6!1s0x3bbfc018dac0c9b7:0x5e29f256da443844!8m2!3d15.543204!4d73.820657!16s%2Fg%2F11b6mms35n!19sChIJt8nA2hjAvzsRRDhE2lbyKV4?authuser=0&hl=en&rclk=1,Hot Pot Bar & Family Restaurant,3.8,157,
https://www.google.com/maps/place/Aastha+FAMILY+RESTAURANT/data=!4m7!3m6!1s0x3bbfc079c1b7d15b:0xc51d4be0d48bbd09!8m2!3d15.5156874!4d73.8376138!16s%2Fg%2F11b6s14ryc!19sChIJW9G3wXnAvzsRCb2L1OBLHcU?authuser=0&hl=en&rclk=1,Aastha FAMILY RESTAURANT,3.3,49,
https://www.google.com/maps/place/Cafe+Bhonsle+Pure+Veg+-+Porvorim/data=!4m7!3m6!1s0x3bbfc143641f9745:0xd491dcdc9db2969f!8m2!3d15.5344649!4d73.8211372!16s%2Fg%2F11fpfhh7z8!19sChIJRZcfZEPBvzsRn5ayndzckdQ?authuser=0&hl=en&rclk=1,Cafe Bhonsle Pure Veg - Porvorim,4.1,5669,
