Name,Star,Number,AREA,URL,Score
Ritz Classic-Patto,4,7612,GOA,https://www.google.com/maps/place/Ritz+Classic-Patto/data=!4m7!3m6!1s0x3bbfc08ed1c835f1:0x1049c650dbf64af3!8m2!3d15.4933879!4d73.8363916!16s%2Fg%2F124sybm39!19sChIJ8TXI0Y7AvzsR80r221DGSRA?authuser=0&hl=en&rclk=1,30448
Navratna Pure Veg restaurant,4,7335,GOA,https://www.google.com/maps/place/Navratna+Pure+Veg+restaurant/data=!4m7!3m6!1s0x3bbfc06e41d5c0cd:0x49310e1ec8229aa5!8m2!3d15.5204375!4d73.8281875!16s%2Fg%2F11f10nygq0!19sChIJzcDVQW7AvzsRpZoiyB4OMUk?authuser=0&hl=en&rclk=1,29340
Krishna,4,7076,GOA,https://www.google.com/maps/place/Krishna/data=!4m7!3m6!1s0x3bbfb3d5cbc981a5:0x7164cd767f3f8e3c!8m2!3d15.2863675!4d73.9782606!16s%2Fg%2F11b7lfdhh9!19sChIJpYHJy9WzvzsRPI4_f3bNZHE?authuser=0&hl=en&rclk=1,28304
Kamat Hotel,3.8,7351,GOA,https://www.google.com/maps/place/Kamat+Hotel/data=!4m7!3m6!1s0x3bbfc08e645c34e5:0xd40a33ad2ec3c1f9!8m2!3d15.4985922!4d73.8280995!16s%2Fg%2F1vzv23rp!19sChIJ5TRcZI7AvzsR-cHDLq0zCtQ?authuser=0&hl=en&rclk=1,27933.8
Kismoor Sangolda,4.5,6050,GOA,https://www.google.com/maps/place/Kismoor+Sangolda/data=!4m7!3m6!1s0x3bbfc14b9df65707:0x559573824189d3b4!8m2!3d15.54355!4d73.8125272!16s%2Fg%2F11k0yq53vx!19sChIJB1f2nUvBvzsRtNOJQYJzlVU?authuser=0&hl=en&rclk=1,27225
Adlem Goi,4.6,5875,GOA,https://www.google.com/maps/place/Adlem+Goi/data=!4m7!3m6!1s0x3bbfbfb8965cc62d:0x8bce38b935cab7f8!8m2!3d15.5026069!4d73.9150403!16s%2Fg%2F11h4_sffcd!19sChIJLcZclri_vzsR-LfKNbk4zos?authuser=0&hl=en&rclk=1,27025
De Baga Deck Restaurant & Bar,4.3,6241,GOA,https://www.google.com/maps/place/De+Baga+Deck+Restaurant+%26+Bar/data=!4m10!3m9!1s0x3bbfea05bd61b8fb:0xeff0bd8a43e8a85c!5m2!4m1!1i2!8m2!3d15.5529133!4d73.7579229!16s%2Fg%2F11b6gn75gl!19sChIJ-7hhvQXqvzsRXKjoQ4q98O8?authuser=0&hl=en&rclk=1,26836.3
THE SINGH FAMILY RESTAURANT & BAR PALOLEM GOA,4.6,5768,GOA,https://www.google.com/maps/place/THE+SINGH+FAMILY+RESTAURANT+%26+BAR+PALOLEM+GOA/data=!4m7!3m6!1s0x3bbe4551176241ed:0xcb99865baf9a873f!8m2!3d15.0131639!4d74.0226453!16s%2Fg%2F11b8szk1dt!19sChIJ7UFiF1FFvjsRP4ear1uGmcs?authuser=0&hl=en&rclk=1,26532.8
Pentagon Restaurant & Garden Pub,4.3,6058,GOA,https://www.google.com/maps/place/Pentagon+Restaurant+%26+Garden+Pub/data=!4m7!3m6!1s0x3bbfb6e94d7af04f:0xf2e489d685310653!8m2!3d15.3125465!4d73.9067583!16s%2Fg%2F11r9w3v1t!19sChIJT_B6Tem2vzsRUwYxhdaJ5PI?authuser=0&hl=en&rclk=1,26049.4
Cohiba Bar & Kitchen,4.3,5791,GOA,https://www.google.com/maps/place/Cohiba+Bar+%26+Kitchen/data=!4m7!3m6!1s0x3bbfc10a4aa33d73:0xe8a9c1a175929e88!8m2!3d15.4980697!4d73.7756637!16s%2Fg%2F11b6gg53qs!19sChIJcz2jSgrBvzsRiJ6SdaHBqeg?authuser=0&hl=en&rclk=1,24901.3
