Name,Star,Number,AREA,URL,Score
"Domino's Pizza | Panaji, Goa",3.6,3200,Panaji,https://www.google.com/maps/search/Domino%27s+Pizza+%7C+Panaji%2C+Goa+Panaji,11520
O Coqueiro,4.2,2700,Chorao,https://www.google.com/maps/search/O+Coqueiro+Chorao,11340
Niyaaz Restaurant (Bambolim Branch),4.1,2700,Bambolim Complex,https://www.google.com/maps/search/Niyaaz+Restaurant+%28Bambolim+Branch%29+Bambolim+Complex,11070
The Red Ginger,4.4,2500,Caranzalem,https://www.google.com/maps/search/The+Red+Ginger+Caranzalem,11000
Cafe Bodega,4.3,2500,Panaji,https://www.google.com/maps/search/Cafe+Bodega+Panaji,10750
Angry Sardar Courtyard,4.1,2600,Panaji,https://www.google.com/maps/search/Angry+Sardar+Courtyard+Panaji,10660
Nerul Eat Street Bar and Restaurant,4.4,2400,Panaji,https://www.google.com/maps/search/Nerul+Eat+Street+Bar+and+Restaurant+Panaji,10560
Sharda Classic Panaji,4.2,2400,Panaji,https://www.google.com/maps/search/Sharda+Classic+Panaji+Panaji,10080
Ratnasagar Family Restaurant & Bar,4,2500,Bicholim,https://www.google.com/maps/search/Ratnasagar+Family+Restaurant+%26+Bar+Bicholim,10000
Sanyog Veg Restaurant,4,2500,Panaji,https://www.google.com/maps/search/Sanyog+Veg+Restaurant+Panaji,10000
BOMBIL RESTAURANT,4.5,2200,Panaji,https://www.google.com/maps/search/BOMBIL+RESTAURANT+Panaji,9900
UDUPI Pure Veg Restaurant,3.8,2600,Bicholim,https://www.google.com/maps/search/UDUPI+Pure+Veg+Restaurant+Bicholim,9880
Temptations Bar and Restaurant,3.8,2600,Caranzalem,https://www.google.com/maps/search/Temptations+Bar+and+Restaurant+Caranzalem,9880
Eater's Den,4.4,2200,Vasco da Gama,https://www.google.com/maps/search/Eater%27s+Den+Vasco+da+Gama,9680
Claudi's Corner,4.2,2200,"Airport, Dabolim",https://www.google.com/maps/search/Claudi%27s+Corner+Airport%2C+Dabolim,9240
