Name,Star,Number,AREA,URL,Score,ID
Sheela Restaurant & Bar,4,4700,"Airport, Dabolim",https://www.google.com/maps/search/Sheela+Restaurant+%26+Bar+Airport%2C+Dabolim,18800,20250205183250_34
La Plage,4.5,4100,Naval Base Verem,https://www.google.com/maps/search/La+Plage+Naval+Base+Verem,18450,20250205183309_35
Kamlabai Sea Food Restaurant,3.8,4700,Mapusa,https://www.google.com/maps/search/Kamlabai+Sea+Food+Restaurant+Mapusa,17860,20250205183354_36
Edward's Yard,4.3,4000,Caranzalem,https://www.google.com/maps/search/Edward%27s+Yard+Caranzalem,17200,20250205183412_37
Tomato's Garden Kitchen And Bar,4.1,4100,Caranzalem,https://www.google.com/maps/search/Tomato%27s+Garden+Kitchen+And+Bar+Caranzalem,16810,20250205183432_38
Mum's Kitchen,4.4,3700,Panaji,https://www.google.com/maps/search/Mum%27s+Kitchen+Panaji,16280,20250205183451_39
Ankita Classic Warkhand Road,4.5,3600,Naval Base Verem,https://www.google.com/maps/search/Ankita+Classic+Warkhand+Road+Naval+Base+Verem,16200,20250205183509_40
The Coastal Tawa,4.7,3400,Naval Base Verem,https://www.google.com/maps/search/The+Coastal+Tawa+Naval+Base+Verem,15980,20250205183529_41
Joseph Bar,4.3,3700,Panaji,https://www.google.com/maps/search/Joseph+Bar+Panaji,15910,20250205183612_42
Bambolim Beach Resort,4,3700,Bambolim Complex,https://www.google.com/maps/search/Bambolim+Beach+Resort+Bambolim+Complex,14800,20250205183634_43
Aastha Escape Resort,3.7,4000,Saligao,https://www.google.com/maps/search/Aastha+Escape+Resort+Saligao,14800,20250205183708_44
Pisco - By the Beach,4.6,3100,Arambol,https://www.google.com/maps/search/Pisco+-+By+the+Beach+Arambol,14260,20250205183743_45
Copperleaf Panaji,4.6,3100,Panaji,https://www.google.com/maps/search/Copperleaf+Panaji+Panaji,14260,20250205183801_46
Cremeux - Panaji,4.3,3200,Panaji,https://www.google.com/maps/search/Cremeux+-+Panaji+Panaji,13760,20250205183819_47
Hotel Annapurna,3.7,3700,"Airport, Dabolim",https://www.google.com/maps/search/Hotel+Annapurna+Airport%2C+Dabolim,13690,20250205183903_48
Lotus Sutra Resort,4.1,3300,Arambol,https://www.google.com/maps/search/Lotus+Sutra+Resort+Arambol,13530,20250205183948_49
Joet's Bar & Restaurant,4.1,3200,"Airport, Dabolim",https://www.google.com/maps/search/Joet%27s+Bar+%26+Restaurant+Airport%2C+Dabolim,13120,20250205184023_50
Florentine Bar & Restaurant.,4.2,3100,Saligao,https://www.google.com/maps/search/Florentine+Bar+%26+Restaurant.+Saligao,13020,20250205184042_51
New Sheetal Pure Veg Restaurant,4.1,3100,Caranzalem,https://www.google.com/maps/search/New+Sheetal+Pure+Veg+Restaurant+Caranzalem,12710,20250205184100_52
Darya Deger Restaurant,4,3100,Caranzalem,https://www.google.com/maps/search/Darya+Deger+Restaurant+Caranzalem,12400,20250205184117_53
Cafe Basil,4.4,2800,Caranzalem,https://www.google.com/maps/search/Cafe+Basil+Caranzalem,12320,20250205184345_54
The Tibet Cafe,4.5,2700,Arambol,https://www.google.com/maps/search/The+Tibet+Cafe+Arambol,12150,20250205184408_55
Caravela Cafe And Bistro,4.4,2700,Caranzalem,https://www.google.com/maps/search/Caravela+Cafe+And+Bistro+Caranzalem,11880,20250205184453_56
Sheetal Udupi Pure Veg Restaurant,4.2,2800,Panaji,https://www.google.com/maps/search/Sheetal+Udupi+Pure+Veg+Restaurant+Panaji,11760,20250205184514_57
Tato's Fine Dining,3.9,3000,Panaji,https://www.google.com/maps/search/Tato%27s+Fine+Dining+Panaji,11700,20250205184531_58
Ben and Sand,4,2900,Caranzalem,https://www.google.com/maps/search/Ben+and+Sand+Caranzalem,11600,20250205184548_59
"Soul Curry, Panjim",4.8,2400,Panaji,https://www.google.com/maps/search/Soul+Curry%2C+Panjim+Panaji,11520,20250205184606_60
"Domino's Pizza | Panaji, Goa",3.6,3200,Panaji,https://www.google.com/maps/search/Domino%27s+Pizza+%7C+Panaji%2C+Goa+Panaji,11520,20250205184626_61
O Coqueiro,4.2,2700,Chorao,https://www.google.com/maps/search/O+Coqueiro+Chorao,11340,20250205184709_62
Niyaaz Restaurant (Bambolim Branch),4.1,2700,Bambolim Complex,https://www.google.com/maps/search/Niyaaz+Restaurant+%28Bambolim+Branch%29+Bambolim+Complex,11070,20250205184731_63
The Red Ginger,4.4,2500,Caranzalem,https://www.google.com/maps/search/The+Red+Ginger+Caranzalem,11000,20250205184752_64
Cafe Bodega,4.3,2500,Panaji,https://www.google.com/maps/search/Cafe+Bodega+Panaji,10750,20250205184810_65
Angry Sardar Courtyard,4.1,2600,Panaji,https://www.google.com/maps/search/Angry+Sardar+Courtyard+Panaji,10660,20250205184829_66
Nerul Eat Street Bar and Restaurant,4.4,2400,Panaji,https://www.google.com/maps/search/Nerul+Eat+Street+Bar+and+Restaurant+Panaji,10560,20250205184849_67
Sharda Classic Panaji,4.2,2400,Panaji,https://www.google.com/maps/search/Sharda+Classic+Panaji+Panaji,10080,20250205184911_68
Ratnasagar Family Restaurant & Bar,4,2500,Bicholim,https://www.google.com/maps/search/Ratnasagar+Family+Restaurant+%26+Bar+Bicholim,10000,20250205184931_69
Sanyog Veg Restaurant,4,2500,Panaji,https://www.google.com/maps/search/Sanyog+Veg+Restaurant+Panaji,10000,20250205184948_70
BOMBIL RESTAURANT,4.5,2200,Panaji,https://www.google.com/maps/search/BOMBIL+RESTAURANT+Panaji,9900,20250205185021_71
UDUPI Pure Veg Restaurant,3.8,2600,Bicholim,https://www.google.com/maps/search/UDUPI+Pure+Veg+Restaurant+Bicholim,9880,20250205185045_72
Temptations Bar and Restaurant,3.8,2600,Caranzalem,https://www.google.com/maps/search/Temptations+Bar+and+Restaurant+Caranzalem,9880,20250205185128_73
Eater's Den,4.4,2200,Vasco da Gama,https://www.google.com/maps/search/Eater%27s+Den+Vasco+da+Gama,9680,20250205185146_74
Claudi's Corner,4.2,2200,"Airport, Dabolim",https://www.google.com/maps/search/Claudi%27s+Corner+Airport%2C+Dabolim,9240,20250205185208_75
Yaki Zushi,4.4,2100,Saligao,https://www.google.com/maps/search/Yaki+Zushi+Saligao,9240,20250205185228_76
Delhi Darbar Hotel,4,2300,Panaji,https://www.google.com/maps/search/Delhi+Darbar+Hotel+Panaji,9200,20250205185246_77
The Temptation Vasco - 24x7 Complete Food Shop,4,2300,Vasco da Gama,https://www.google.com/maps/search/The+Temptation+Vasco+-+24x7+Complete+Food+Shop+Vasco+da+Gama,9200,20250205185303_78
Casa Bhonsle Restaurant and Bar,4.2,2100,Caranzalem,https://www.google.com/maps/search/Casa+Bhonsle+Restaurant+and+Bar+Caranzalem,8820,20250205185325_79
GENE’s - Restaurant By The Riverside,4.2,2100,Chorao,https://www.google.com/maps/search/GENE%E2%80%99s+-+Restaurant+By+The+Riverside+Chorao,8820,20250205185344_80
