Name,Star,Number,AREA,URL,Score,ID
Cremeux - Miramar,4.3,852,Caranzalem,https://www.google.com/maps/search/Cremeux+-+Miramar+Caranzalem,3663.6,20250205194334_180
The Brasserie,4.3,851,Caranzalem,https://www.google.com/maps/search/The+Brasserie+Caranzalem,3659.3,20250205194352_181
MANJUNATH AIRLOUNGE,3.3,1100,"Airport, Dabolim",https://www.google.com/maps/search/MANJUNATH+AIRLOUNGE+Airport%2C+Dabolim,3630,20250205194437_182
Aflatoon Hotel,4,907,Mapusa,https://www.google.com/maps/search/Aflatoon+Hotel+Mapusa,3628,20250205194455_183
Nandan Pure Veg Restaurant,3.9,930,Panaji,https://www.google.com/maps/search/Nandan+Pure+Veg+Restaurant+Panaji,3627,20250205194512_184
Savor Restaurant & Bar,3.9,929,Tisk (Ponda),https://www.google.com/maps/search/Savor+Restaurant+%26+Bar+Tisk+%28Ponda%29,3623.1,20250205194530_185
Myles High Bakehouse,4.3,839,Panaji,https://www.google.com/maps/search/Myles+High+Bakehouse+Panaji,3607.7,20250205194548_186
Kashi Dairy veg restaurant,3.8,926,Vasco da Gama,https://www.google.com/maps/search/Kashi+Dairy+veg+restaurant+Vasco+da+Gama,3518.8,20250205194607_187
Bhumiputra Resturant and Bar,4.1,843,Naval Base Verem,https://www.google.com/maps/search/Bhumiputra+Resturant+and+Bar+Naval+Base+Verem,3456.3,20250205194625_188
Hotel Anandashram,4.2,817,Panaji,https://www.google.com/maps/search/Hotel+Anandashram+Panaji,3431.4,20250205194656_189
Kokum Curry Panjim,4.4,771,Panaji,https://www.google.com/maps/search/Kokum+Curry+Panjim+Panaji,3392.4,20250205194723_190
Godinho Bar and Restaurant,4.2,804,Panaji,https://www.google.com/maps/search/Godinho+Bar+and+Restaurant+Panaji,3376.8,20250205194740_191
Prana Mandrem,4.3,775,Arambol,https://www.google.com/maps/search/Prana+Mandrem+Arambol,3332.5,20250205194759_192
The Temptation Dabolim - 24x7 Complete Food Shop,4.1,812,"Airport, Dabolim",https://www.google.com/maps/search/The+Temptation+Dabolim+-+24x7+Complete+Food+Shop+Airport%2C+Dabolim,3329.2,20250205194822_193
Martin's Place,4.5,723,Bicholim,https://www.google.com/maps/search/Martin%27s+Place+Bicholim,3253.5,20250205194840_194
Sandeep Ross Omelette,3.9,818,Panaji,https://www.google.com/maps/search/Sandeep+Ross+Omelette+Panaji,3190.2,20250205194926_195
Café Ave Maria- Taleigao,4,797,Caranzalem,https://www.google.com/maps/search/Caf%C3%A9+Ave+Maria-+Taleigao+Caranzalem,3188,20250205194944_196
Preeti Udupi Restaurant,3.6,885,Naval Base Verem,https://www.google.com/maps/search/Preeti+Udupi+Restaurant+Naval+Base+Verem,3186,20250205195003_197
Greenyard Restaurant & Bar,4,796,Caranzalem,https://www.google.com/maps/search/Greenyard+Restaurant+%26+Bar+Caranzalem,3184,20250205195033_198
Schandis Restaurant,4.4,720,Caranzalem,https://www.google.com/maps/search/Schandis+Restaurant+Caranzalem,3168,20250205195050_199
Cafe S. F. Xavier,4,790,Mapusa,https://www.google.com/maps/search/Cafe+S.+F.+Xavier+Mapusa,3160,20250205195111_200
Cafe Antruz Mahal,3.8,821,Tisk (Ponda),https://www.google.com/maps/search/Cafe+Antruz+Mahal+Tisk+%28Ponda%29,3119.8,20250205195138_201
Hotel Sahibin,4,768,Naval Base Verem,https://www.google.com/maps/search/Hotel+Sahibin+Naval+Base+Verem,3072,20250205195206_202
Adarsh Bar & Restaurant,3.8,806,Bicholim,https://www.google.com/maps/search/Adarsh+Bar+%26+Restaurant+Bicholim,3062.8,20250205195225_203
Abhiksha Palace,3.9,783,Tisk (Ponda),https://www.google.com/maps/search/Abhiksha+Palace+Tisk+%28Ponda%29,3053.7,20250205195441_204
Mapusa Residency,3.6,847,Mapusa,https://www.google.com/maps/search/Mapusa+Residency+Mapusa,3049.2,20250205195502_205
Azule Ocean Front,4,748,Arambol,https://www.google.com/maps/search/Azule+Ocean+Front+Arambol,2992,20250205195533_206
Hotel Z Square,3.5,845,Vasco da Gama,https://www.google.com/maps/search/Hotel+Z+Square+Vasco+da+Gama,2957.5,20250205195551_207
Taste of Goa Family Restaurant,4,729,Tisk (Ponda),https://www.google.com/maps/search/Taste+of+Goa+Family+Restaurant+Tisk+%28Ponda%29,2916,20250205195622_208
MATSYA Restaurant,4,727,Mapusa,https://www.google.com/maps/search/MATSYA+Restaurant+Mapusa,2908,20250205195643_209
Bombay Coffee Roasters,4.2,689,Caranzalem,https://www.google.com/maps/search/Bombay+Coffee+Roasters+Caranzalem,2893.8,20250205195659_210
Smokin' Joe's,3.9,733,Caranzalem,https://www.google.com/maps/search/Smokin%27+Joe%27s+Caranzalem,2858.7,20250205195719_211
