URL,Name,Star,Number,AREA,Score
https://www.google.com/maps/place/Ritz+Classic-Patto/data=!4m7!3m6!1s0x3bbfc08ed1c835f1:0x1049c650dbf64af3!8m2!3d15.4933879!4d73.8363916!16s%2Fg%2F124sybm39!19sChIJ8TXI0Y7AvzsR80r221DGSRA?authuser=0&hl=en&rclk=1,Ritz Classic-Patto,4.0,7612,Complex Altinho,30448.0
https://www.google.com/maps/place/Navratna+Pure+Veg+restaurant/data=!4m7!3m6!1s0x3bbfc06e41d5c0cd:0x49310e1ec8229aa5!8m2!3d15.5204375!4d73.8281875!16s%2Fg%2F11f10nygq0!19sChIJzcDVQW7AvzsRpZoiyB4OMUk?authuser=0&hl=en&rclk=1,Navratna Pure Veg restaurant,4.0,7335,Reis Magos,29340.0
https://www.google.com/maps/place/Zeebop/data=!4m7!3m6!1s0x3bbfb6fb16e2fdf1:0x34b6fe204ed2ec8c!8m2!3d15.320764!4d73.8992585!16s%2Fg%2F1tdg1nsy!19sChIJ8f3iFvu2vzsRjOzSTiD-tjQ?authuser=0&hl=en&rclk=1,Zeebop,4.5,6304,Goa University,28368.0
https://www.google.com/maps/place/Kamat+Hotel/data=!4m7!3m6!1s0x3bbfc08e645c34e5:0xd40a33ad2ec3c1f9!8m2!3d15.4985922!4d73.8280995!16s%2Fg%2F1vzv23rp!19sChIJ5TRcZI7AvzsR-cHDLq0zCtQ?authuser=0&hl=en&rclk=1,Kamat Hotel,3.8,7351,Complex Altinho,27933.8
https://www.google.com/maps/place/Adlem+Goi/data=!4m7!3m6!1s0x3bbfbfb8965cc62d:0x8bce38b935cab7f8!8m2!3d15.5026069!4d73.9150403!16s%2Fg%2F11h4_sffcd!19sChIJLcZclri_vzsR-LfKNbk4zos?authuser=0&hl=en&rclk=1,Adlem Goi,4.6,5876,Goa University,27029.6
https://www.google.com/maps/place/De+Baga+Deck+Restaurant+%26+Bar/data=!4m7!3m6!1s0x3bbfea05bd61b8fb:0xeff0bd8a43e8a85c!8m2!3d15.5529133!4d73.7579229!16s%2Fg%2F11b6gn75gl!19sChIJ-7hhvQXqvzsRXKjoQ4q98O8?authuser=0&hl=en&rclk=1,De Baga Deck Restaurant & Bar,4.3,6241,Goa University,26836.3
https://www.google.com/maps/place/Pentagon+Restaurant+%26+Garden+Pub/data=!4m7!3m6!1s0x3bbfb6e94d7af04f:0xf2e489d685310653!8m2!3d15.3125465!4d73.9067583!16s%2Fg%2F11r9w3v1t!19sChIJT_B6Tem2vzsRUwYxhdaJ5PI?authuser=0&hl=en&rclk=1,Pentagon Restaurant & Garden Pub,4.3,6058,Majorda,26049.4
https://www.google.com/maps/place/Sher-E-Punjab+Goa/data=!4m7!3m6!1s0x3bbfc08ec443d519:0xf2c555a417d5abbe!8m2!3d15.497947!4d73.826108!16s%2Fg%2F11bwf82_f3!19sChIJGdVDxI7AvzsRvqvVF6RVxfI?authuser=0&hl=en&rclk=1,Sher-E-Punjab Goa,4.2,5770,Complex Altinho,24234.0
https://www.google.com/maps/place/Goan+Spice/data=!4m7!3m6!1s0x3bbfea32852d4677:0x88524ae35f0382d8!8m2!3d15.5884803!4d73.7601213!16s%2Fg%2F11ckw29h77!19sChIJd0YthTLqvzsR2IIDX-NKUog?authuser=0&hl=en&rclk=1,Goan Spice,4.2,5658,Anjuna,23763.6
https://www.google.com/maps/place/Palms+n+Sands+Beach+Restobar+Candolim/data=!4m7!3m6!1s0x3bbfc19ec1b9ddc3:0xd8cd179cc5571b20!8m2!3d15.504891!4d73.7671325!16s%2Fg%2F1pxy9sz_s!19sChIJw925wZ7BvzsRIBtXxZwXzdg?authuser=0&hl=en&rclk=1,Palms n Sands Beach Restobar Candolim,4.4,4978,Candolim,21903.2
https://www.google.com/maps/place/Hotel+Anantashram/data=!4m7!3m6!1s0x3bbfc7bc7e50f927:0x319f14d19a10feef!8m2!3d15.3981767!4d73.8127935!16s%2Fg%2F124yjm7mt!19sChIJJ_lQfrzHvzsR7_4QmtEUnzE?authuser=0&hl=en&rclk=1,Hotel Anantashram,4.1,5265,Baina,21586.5
https://www.google.com/maps/place/Delhi+Darbar+Candolim+Goa+-+Original+Branch/data=!4m7!3m6!1s0x3bbfc1e0680f3e45:0x12a620df93d2fbb3!8m2!3d15.5292764!4d73.7650183!16s%2Fg%2F11pclxhr_6!19sChIJRT4PaODBvzsRs_vSk98gphI?authuser=0&hl=en&rclk=1,Delhi Darbar Candolim Goa - Original Branch,4.8,4457,Candolim,21393.6
https://www.google.com/maps/place/Bomras/data=!4m7!3m6!1s0x3bbfc193d6ad0559:0x5e0b2d029e7af544!8m2!3d15.5821923!4d73.7526178!16s%2Fg%2F11r92rt5z!19sChIJWQWt1pPBvzsRRPV6ngItC14?authuser=0&hl=en&rclk=1,Bomras,4.7,4450,Anjuna,20915.0
https://www.google.com/maps/place/Peep+Kitchen/data=!4m7!3m6!1s0x3bbfc0ce203eb53b:0x97ac229950cb0d!8m2!3d15.4701468!4d73.8260554!16s%2Fg%2F1hm4z2npp!19sChIJO7U-IM7AvzsRDctQmSKslwA?authuser=0&hl=en&rclk=1,Peep Kitchen,4.4,4673,Complex Altinho,20561.2
https://www.google.com/maps/place/Barbeque+Nation/data=!4m7!3m6!1s0x3bbfc0eb519c34dd:0x850b6dbd00cedcca!8m2!3d15.486284!4d73.8176956!16s%2Fg%2F11b7q8qrkz!19sChIJ3TScUevAvzsRytzOAL1tC4U?authuser=0&hl=en&rclk=1,Barbeque Nation,4.3,4725,Complex Altinho,20317.5
https://www.google.com/maps/place/Viva+Panjim/data=!4m7!3m6!1s0x3bbfc0859d9b0959:0x3f3da3adedbc0e99!8m2!3d15.4964927!4d73.831189!16s%2Fg%2F1tmpccwl!19sChIJWQmbnYXAvzsRmQ687a2jPT8?authuser=0&hl=en&rclk=1,Viva Panjim,4.3,4390,Dona Paula,18877.0
