URL,Name,Star,Number,AREA,Score
https://www.google.com/maps/place/Isla+Margarita/data=!4m7!3m6!1s0x3bbe4d2bd0224607:0xcaaaaf2dcf8b8250!8m2!3d15.181562!4d73.9652739!16s%2Fg%2F11j8gdfqq0!19sChIJB0Yi0CtNvjsRUIKLzy2vqso?authuser=0&hl=en&rclk=1,Isla Margarita,4.6,676,"Cuncolim, Goa",3109.6
https://www.google.com/maps/place/Hotel+Sahibin/data=!4m7!3m6!1s0x3bbfb3cc1a26a0a5:0xd3ae13de2953fa00!8m2!3d15.2726212!4d73.9778209!16s%2Fg%2F11b6bqzk7f!19sChIJpaAmGsyzvzsRAPpTKd4TrtM?authuser=0&hl=en&rclk=1,Hotel Sahibin,4.0,768,"Navelim Camp,goa",3072.0
https://www.google.com/maps/place/Adarsh+Bar+%26+Restaurant/data=!4m7!3m6!1s0x3bbf96707f8cb38d:0x96146c34c929f426!8m2!3d15.5931842!4d73.9447843!16s%2Fg%2F11b64jswwh!19sChIJjbOMf3CWvzsRJvQpyTRsFJY?authuser=0&hl=en&rclk=1,Adarsh Bar & Restaurant,3.8,806,"Assonora, Goa",3062.8
https://www.google.com/maps/place/Abhiksha+Palace/data=!4m7!3m6!1s0x3bbfba96e6eaa23f:0xe6dc7e49a90df64c!8m2!3d15.3959379!4d74.0024462!16s%2Fg%2F11b6znj64k!19sChIJP6Lq5pa6vzsRTPYNqUl-3OY?authuser=0&hl=en&rclk=1,Abhiksha Palace,3.9,784,"Ponda, Goa",3057.6
https://www.google.com/maps/place/Aditya+Food+Court/data=!4m7!3m6!1s0x3bbfb0bae3c953b3:0xea9a67c8f6443641!8m2!3d15.3643802!4d73.9504779!16s%2Fg%2F1ptw2rtr1!19sChIJs1PJ47qwvzsRQTZE9shnmuo?authuser=0&hl=en&rclk=1,Aditya Food Court,3.6,849,"Verna, Goa",3056.4
https://www.google.com/maps/place/Kala+Bahia/data=!4m10!3m9!1s0x3bbe454ac4e4af31:0x4663da1aa0afda93!5m2!4m1!1i2!8m2!3d15.0020341!4d74.0281279!16s%2Fg%2F11c20s_2c4!19sChIJMa_kxEpFvjsRk9qvoBraY0Y?authuser=0&hl=en&rclk=1,Kala Bahia,4.3,710,"Loliem, Goa",3053.0
https://www.google.com/maps/place/Meeting+Point/data=!4m7!3m6!1s0x3bbfb9fd571537a9:0x653e8bc9bdea66fd!8m2!3d15.3759167!4d73.9248658!16s%2Fg%2F11b6s0rrmf!19sChIJqTcVV_25vzsR_WbqvcmLPmU?authuser=0&hl=en&rclk=1,Meeting Point,3.7,815,"Verna, Goa",3015.5
https://www.google.com/maps/place/Kutumbh+Multicuisine+Restaurant+%26+Bar/data=!4m7!3m6!1s0x3bbfc1e8fe8e7c45:0x31becbe4e740ccfd!8m2!3d15.496558!4d73.8267776!16s%2Fg%2F11k6th8690!19sChIJRXyO_ujBvzsR_cxA5-TLvjE?authuser=0&hl=en&rclk=1,Kutumbh Multicuisine Restaurant & Bar,4.3,700,"Cavelossim, Goa",3010.0
https://www.google.com/maps/place/Valley+View/data=!4m7!3m6!1s0x3bbe4d717fd3bc45:0x15608cff640f2a75!8m2!3d15.1633775!4d74.0123735!16s%2Fg%2F11bx1svf6x!19sChIJRbzTf3FNvjsRdSoPZP-MYBU?authuser=0&hl=en&rclk=1,Valley View,3.9,768,"Cuncolim, Goa",2995.2
https://www.google.com/maps/place/Juju+-+Reimagined+Indian/data=!4m7!3m6!1s0x3bbfb7c170999c71:0x10985cf86cf89145!8m2!3d15.2887909!4d73.9204352!16s%2Fg%2F11jt3wp0l2!19sChIJcZyZcMG3vzsRRZH4bPhcmBA?authuser=0&hl=en&rclk=1,Juju - Reimagined Indian,4.5,659,"Colva, Goa",2965.5
https://www.google.com/maps/place/Nivaant+Multicuisine+AC+Restaurant+with+Bar/data=!4m7!3m6!1s0x3bbfbb8d147409cd:0xa2ea01b5a73a39d8!8m2!3d15.45954!4d73.961308!16s%2Fg%2F11bxb9qzwt!19sChIJzQl0FI27vzsR2Dk6p7UB6qI?authuser=0&hl=en&rclk=1,Nivaant Multicuisine AC Restaurant with Bar,3.9,759,"Mardol, Goa",2960.1
https://www.google.com/maps/place/Taste+of+Goa+Family+Restaurant/data=!4m7!3m6!1s0x3bbfba973d7db74f:0x56b90e80f8f1f9eb!8m2!3d15.3946541!4d74.0020019!16s%2Fg%2F1thxtnrg!19sChIJT7d9PZe6vzsR6_nx-IAOuVY?authuser=0&hl=en&rclk=1,Taste of Goa Family Restaurant,4.0,729,"Mardol, Goa",2916.0
